662	450
450	57
57	567
567	71
57	228
228	55
550	780
780	228
228	765
765	712
340	712
712	599
599	424
427	1099
1099	457
457	658
1082	273
273	534
534	257
257	532
532	166
166	857
857	119
119	11
11	367
367	2013
2013	218
218	395
395	257
149	432
432	535
535	1086
1086	149
149	157
157	392
392	829
157	1126
1126	684
149	607
607	379
649	379
379	530
530	227
227	640
640	649
807	352
807	865
1573	498
1573	785
354	180
180	553
553	198
198	235
235	140
140	180
198	389
235	327
1063	105
105	50
50	342
5	38
38	104
104	113
113	210
210	167
167	5
5	371
371	38
108	2
2	117
117	281
281	291
291	172
172	319
319	2
177	746
746	910
910	447
447	492
22	278
278	36
36	376
376	84
494	48
48	1307
1307	548
548	1630
1630	568
568	803
803	494
910	1120
1120	447
447	36
803	1120
1120	174
174	36
376	800
7	151
150	676
947	540
540	695
695	1044
1044	1271
1271	653
653	947
695	871
871	1271
318	188
188	574
574	693
693	357
357	143
357	1100
1100	693
574	380
188	594
594	579
1231	896
296	39
162	262
262	234
234	126
126	232
232	30
30	1
30	162
126	162
162	39
73	68
68	276
276	81
81	109
109	248
3	75
75	10
56	153
153	100
100	75
75	62
62	96
96	467
467	192
191	78
78	254
254	118
87	206
206	216
216	303
303	247
247	620
650	267
267	87
87	563
563	620
729	247
247	289
92	637
637	753
753	277
277	558
558	185
185	377
377	331
331	308
308	52
52	522
522	92
52	292
556	577
577	730
730	805
805	759
559	205
205	923
302	482
482	1079
1079	533
482	636
448	98
98	197
197	771
771	777
777	439
197	491
1387	1658
1658	584
584	581
581	992
992	1252
1252	2854
601	356
356	66
66	434
434	626
555	873
873	562
562	313
313	555
313	1335
1335	1119
562	1174
1174	1998
19	24
17	131
512	170
170	95
95	161
161	106
106	170
142	401
401	18
18	483
63	1488
209	90
90	63
63	483
483	369
369	373
373	209
90	648
648	507
507	456
456	657
657	1111
1111	189
189	1169
1169	1415
1415	1495
1495	1488
1488	142
1495	142
1559	1029
541	344
344	394
394	679
679	838
838	344
623	224
224	1164
1164	259
259	755
259	1085
385	69
69	128
128	1388
1388	385
385	187
187	430
430	848
848	314
314	962
962	203
203	121
121	526
526	231
231	348
348	446
446	433
1109	478
478	1986
1986	884
9	365
365	326
326	621
621	583
583	211
211	678
678	613
613	311
311	495
495	420
420	622
622	714
714	353
353	570
570	889
889	460
460	378
378	300
300	831
831	163
163	542
542	480
480	508
508	794
794	129
129	661
440	863
863	1108
158	610
610	830
830	165
165	146
604	229
229	146
146	602
602	41
41	264
15	317
317	305
305	402
402	41
315	305
305	399
329	830
830	552
27	58
58	462
462	724
590	286
286	58
58	499
499	1239
1239	862
862	182
283	124
124	382
124	133
133	306
306	635
635	458
458	675
306	202
202	965
965	423
423	415
202	477
477	200
200	271
271	814
814	362
362	428
477	133
444	1142
1142	2563
2563	2351
2351	2090
2090	1861
1861	1574
195	706
706	844
844	609
609	250
250	195
195	451
451	473
473	47
47	591
591	337
337	417
417	196
196	307
307	687
687	179
179	226
154	130
130	221
221	154
789	193
789	347
789	795
872	642
642	429
834	393
393	967
967	773
773	972
972	944
944	592
21	243
243	61
61	93
93	101
101	285
285	21
21	301
101	261
261	453
453	164
239	94
94	333
333	360
94	138
207	138
138	330
330	418
605	472
472	102
102	122
122	230
230	320
320	350
102	230
4	790
790	545
790	742
790	713
713	809
713	275
809	763
275	220
683	99
225	612
612	86
125	86
125	99
99	213
213	59
59	125
125	383
383	242
125	501
501	537
537	363
363	59
213	419
419	120
120	219
219	99
8	233
233	25
25	70
70	6
6	54
54	28
28	8
8	589
589	868
868	822
868	1013
822	819
25	204
204	364
204	776
776	1073
364	370
370	867
694	173
173	284
284	490
490	388
388	557
490	748
89	82
89	634
634	255
255	295
490	89
89	1456
284	85
85	1020
1020	811
811	136
136	490
60	251
60	407
407	168
168	33
33	156
156	400
400	485
485	403
403	60
407	144
160	422
919	1212
1212	1088
1088	335
335	670
670	704
704	847
847	689
689	837
837	523
523	596
596	691
691	358
358	1506
1506	897
897	596
159	215
215	112
112	908
908	245
245	134
134	64
64	222
222	578
578	723
103	145
145	77
148	463
463	145
145	13
13	135
135	74
74	176
176	341
341	241
241	42
42	178
178	83
83	23
23	116
132	114
114	169
169	37
114	37
37	97
97	240
240	49
49	212
97	212
212	132
212	114
375	280
280	349
349	253
253	12
12	183
349	387
387	290
290	26
40	72
72	32
32	237
237	34
34	79
79	88
88	237
51	775
775	654
654	741
741	53
53	184
184	1534
1534	741
199	46
46	791
791	414
414	435
435	91
91	46
294	199
294	110
110	414
35	681
681	569
569	554
554	325
325	67
67	454
454	35
325	381
381	35
14	784
784	293
293	249
249	258
258	14
14	618
618	571
571	470
258	710
710	372
293	459
459	336
336	538
538	598
598	459
249	137
